Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar]
1964-04-01T00:00:00Z,1964.2486339,6110,6459,1007.88
1965-01-01T00:00:00Z,1965.0000000,6159,6517,1008.11
1966-01-01T00:00:00Z,1966.0000000,5843,6295,1010.43
1967-01-01T00:00:00Z,1967.0000000,5752,6033,1007.03
1968-01-01T00:00:00Z,1968.0000000,5509,5877,1009.31
1969-01-01T00:00:00Z,1969.0000000,5295,5772,1012.31
1970-01-01T00:00:00Z,1970.0000000,5458,5809,1008.93
1971-01-01T00:00:00Z,1971.0000000,5828,6191,1008.73
1972-01-01T00:00:00Z,1972.0000000,5774,6293,1012.26
1973-01-01T00:00:00Z,1973.0000000,6055,6344,1006.93
1974-01-01T00:00:00Z,1974.0000000,5870,6274,1009.57
1975-01-01T00:00:00Z,1975.0000000,6093,6407,1007.40
1976-01-01T00:00:00Z,1976.0000000,5934,6446,1011.89
1977-01-01T00:00:00Z,1977.0000000,6010,6421,1009.47
1978-01-01T00:00:00Z,1978.0000000,5845,6239,1009.38
1979-01-01T00:00:00Z,1979.0000000,5583,5945,1009.08
1980-01-01T00:00:00Z,1980.0000000,5386,5794,1010.30
1981-01-01T00:00:00Z,1981.0000000,5346,5638,1007.82
1982-01-01T00:00:00Z,1982.0000000,5294,5583,1007.68
1983-01-01T00:00:00Z,1983.0000000,5586,5771,1004.96
1984-01-01T00:00:00Z,1984.0000000,5399,5868,1011.99
1985-01-01T00:00:00Z,1985.0000000,5771,6152,1009.01
1986-01-01T00:00:00Z,1986.0000000,5977,6384,1008.55
1987-01-01T00:00:00Z,1987.0000000,5944,6431,1010.25
1988-01-01T00:00:00Z,1988.0000000,5719,6053,1007.21
1989-01-01T00:00:00Z,1989.0000000,5247,5480,1005.52
1990-01-01T00:00:00Z,1990.0000000,5192,5416,1005.43
1991-01-01T00:00:00Z,1991.0000000,5097,5432,1008.32
1992-01-01T00:00:00Z,1992.0000000,5634,5922,1006.32
1993-01-01T00:00:00Z,1993.0000000,5818,6203,1008.61
1994-01-01T00:00:00Z,1994.0000000,5967,6280,1006.61
1995-01-01T00:00:00Z,1995.0000000,6055,6387,1006.41
1996-01-01T00:00:00Z,1996.0000000,5893,6502,1012.34
1997-01-01T00:00:00Z,1997.0000000,6146,6545,1007.57
1998-01-01T00:00:00Z,1998.0000000,6030,6399,1007.11
1999-01-01T00:00:00Z,1999.0000000,5844,6209,1007.15
2000-01-01T00:00:00Z,2000.0000000,5495,5784,1006.32
2001-01-01T00:00:00Z,2001.0000000,5486,5879,1008.56
2002-01-01T00:00:00Z,2002.0000000,5377,5806,1009.89
2003-01-01T00:00:00Z,2003.0000000,5358,5759,1009.15
2004-01-01T00:00:00Z,2004.0000000,5757,6093,1007.10
2005-01-01T00:00:00Z,2005.0000000,5746,6157,1008.68
2006-01-01T00:00:00Z,2006.0000000,6021,6479,1009.31
2007-01-01T00:00:00Z,2007.0000000,6328,6633,1005.90
2008-01-01T00:00:00Z,2008.0000000,6329,6662,1006.84
2009-01-01T00:00:00Z,2009.0000000,6346,6804,1009.51
2010-01-01T00:00:00Z,2010.0000000,6153,6623,1010.19
2011-01-01T00:00:00Z,2011.0000000,6109,6416,1007.04
2012-01-01T00:00:00Z,2012.0000000,5909,6269,1008.37
2013-01-01T00:00:00Z,2013.0000000,5858,6209,1008.10
2014-01-01T00:00:00Z,2014.0000000,5694,6153,1010.74
2015-01-01T00:00:00Z,2015.0000000,5888,6147,1006.25
2016-01-01T00:00:00Z,2016.0000000,6056,6474,1009.36
2017-01-01T00:00:00Z,2017.0000000,6303,6598,1006.57
2018-01-01T00:00:00Z,2018.0000000,6168,6687,1011.19
2019-01-01T00:00:00Z,2019.0000000,6405,6721,1006.84
2020-01-01T00:00:00Z,2020.0000000,6650,6781,1003.20
