mass,year,mint,condition
2.99,1990,2,2
3.09,1981,2,1
3.16,1965,3,1
2.94,1977,1,2
3.05,1980,4,2
3.44,1974,2,2
2.7,1982,4,1
2.41,1985,2,2
3.16,1999,3,1
2.56,2010,1,1
3.35,1977,2,1
3.32,1976,2,1
2.67,2010,3,1
3.4,1960,1,1
2.56,2019,2,1
2.33,2009,1,2
3.09,1979,4,1
2.38,2020,1,1
2.99,1970,4,2
3.09,1969,1,1
3.24,1964,4,2
3.15,1979,3,2
3.13,1962,1,1
3.16,1976,2,1
2.89,1972,1,2
3.02,1962,4,1
2.69,1987,1,2
2.6,1991,2,2
2.46,1995,4,1
2.82,1960,2,1
3,1960,2,1
2.83,1966,3,1
2.77,1983,4,1
2.64,1996,2,1
3.15,1980,3,1
3.22,1974,1,1
2.97,1961,2,2
3.11,1968,1,1
2.64,2004,1,2
2.7,2008,3,1
3.33,1968,2,2
2.69,1983,3,1
2.99,1973,2,2
2.76,1986,4,2
2.95,1970,3,1
3.28,1976,1,1
2.89,1982,4,1
3.14,1966,2,1
2.72,2000,1,1
3.33,1971,1,2
2.95,1977,4,2
2.71,2001,4,1
3.04,1982,2,2
3,1977,4,2
3.22,1981,1,1
2.71,2018,3,1
2.68,1986,2,1
2.82,1980,2,1
3.18,1971,3,1
2.68,1988,3,2
3.12,1964,2,1
2.57,1998,4,1
2.45,2010,4,2
2.7,2000,3,2
2.66,1991,4,2
3.24,1962,3,1
2.48,1993,4,1
3.26,1977,2,2
3.04,1961,4,1
2.88,1974,4,2
2.75,1994,1,1
3.27,1982,2,1
2.87,1973,3,2
2.5,1993,4,2
2.63,1989,3,1
2.99,1979,4,1
2.94,1972,3,2
2.52,2014,2,1
2.56,1985,3,2
3.01,1972,3,2
3.31,1982,1,2
2.37,2007,4,1
2.65,2017,1,2
3.24,1960,4,2
2.63,2018,1,2
2.93,1974,1,1
2.65,2013,1,2
3.03,1981,1,2
2.7,2015,3,2
2.89,1966,1,1
3.31,1973,3,1
3,1979,4,2
2.63,2010,2,1
2.41,2009,1,1
3.06,1978,4,2
2.66,2014,1,2
2.37,2010,2,1
2.87,1981,4,2
2.9,1964,3,2
3.17,1960,2,1
3.07,1967,4,2
2.65,1999,2,1
3.12,1971,4,1
2.92,1965,4,2
3.38,1963,1,1
2.62,1997,3,1
3.16,1965,1,1
3,1978,3,2
3.21,1978,4,1
2.55,1994,4,1
2.83,1976,4,1
2.64,2015,4,1
2.4,2010,3,2
2.96,1978,2,1
3.34,1980,4,2
2.65,2017,1,2
2.79,1995,3,1
2.64,2013,4,2
3.29,1977,4,2
2.56,1993,2,1
2.59,2000,3,2
2.94,1981,3,2
2.65,2008,4,1
3.1,1965,2,2
2.52,2008,4,2
2.95,1964,3,2
2.79,2006,1,1
2.94,1963,4,2
2.97,1967,3,1
2.74,2016,1,1
3.18,1975,4,2
2.85,1975,4,1
3.17,1979,4,2
3.43,1982,2,1
2.72,2017,4,2
2.99,1972,3,2
3.18,1982,1,2
3.1,1978,2,2
3.13,1973,4,2
3.15,1981,1,2
2.42,1996,2,1
2.95,1969,3,2
